TRMC (台灣區預拌混凝土工業同業公會) 會員名錄 — 全 22 頁
共 421 筆
========================================================

--- Page 1 (20 筆) ---
1. 幸孚預拌混凝土廠股份有限公司基隆廠 | 基隆市七堵區八德路2-10號
2. 國產建材實業股份有限公司基隆廠 | 基隆市七堵區八德路2-2號
3. 世嘉工業股份有限公司 | 基隆市七堵區八德路2之9號
4. 上泉混凝土股份有限公司 | 基隆市安樂區武訓街17號
5. 生銘混凝土有限公司 | 基隆市安樂區武訓街2-1號
6. 順郁建材股份有限公司基隆廠 | 基隆市暖暖區興隆街29~3號
7. 力泰建設企業股份有限公司 | 台北市士林區延平北路七段7號
8. 和昌國際工業股份有限公司內湖廠 | 台北市內湖區安康路111號
9. 達踴有限公司 | 新北市八里區下罟子55之1號
10. 龍形企業股份有限公司 | 新北市八里區大崁村忠八街60號
11. 國產建材實業股份有限公司台北港廠 | 新北市八里區商港路128號
12. 國產建材實業股份有限公司八里廠 | 新北市八里區龍米路二段221號
13. 華商益工程有限公司 | 新北市三芝區古庄里四棧橋53之6號
14. 瀛豐實業股份有限公司三芝廠 | 新北市三芝區福得里大湖八之五號
15. 磬豐國際股份有限公司三峽廠 | 新北市三峽區介壽路3段233巷2之1號
16. 合興預拌混凝土股份有限公司預拌廠 | 新北市三峽區介壽路三段72號、中正路三段196號
17. 聯佶實業股份有限公司 三峽廠 | 新北市三峽區安坑70之2號
18. 寰冠科技股份有限公司 | 新北市三峽區安坑70之2號
19. 永明水泥製品廠股份有限公司 | 新北市三峽區龍福段226-1地號
20. 正誠工業有限公司 | 新北市土城區大安路101-5號

--- Page 2 (20 筆) ---
1. 合興預拌混凝土股份有限公司土城廠 | 新北市土城區中華路1段162號
2. 國產建材實業股份有限公司土城廠 | 新北市土城區中華路二段202號
3. 亞東預拌混凝土股份有限公司土城廠 | 新北市土城區中華路二段208號
4. 亞東預拌混凝土股份有限公司汐止廠 | 新北市汐止區大同路一段139號
5. 台灣水泥股份有限公司台北水泥製品廠 | 新北市汐止區大同路一段310號
6. 尚昀企業有限公司汐止廠 | 新北市汐止區中興路185之2號
7. 和昌國際工業股份有限公司汐止廠 | 新北市汐止區保新街133-1號
8. 松達建材股份有限公司 | 新北市汐止區南陽街120巷35號
9. 國產建材實業股份有限公司汐止廠 | 新北市汐止區福德二路360號
10. 力泰建設企業股份有限公司汐止廠 | 新北市汐止區樟樹二路43號
11. 大象實業股份有限公司環河廠 | 新北市汐止區環河街126號
12. 陽明混凝土股份有限公司金山廠 | 新北市金山區五湖村南勢湖29-1號
13. 富品混凝土工業股份有限公司貢寮廠 | 新北市貢寮區延平街177號
14. 慶康實業股份有限公司 | 新北市新店區安康路3段782號
15. 鍵蒼企業股份有限公司新店廠 | 新北市新店區安樂街26號
16. 榮工實業股份有限公司新店工廠 | 新北市新店區寶橋路237巷1號
17. 大漢混凝土股份有限公司 | 新北市樹林區八德街228號
18. 世芳預拌混凝土有限公司 | 新北市樹林區中正路205號
19. 慶龍預拌混凝土股份有限公司八德廠 | 桃園市八德區大安里興豐路2350巷322號
20. 新群鼎實業有限公司八德廠 | 桃園市八德區大安里興豐路2350巷369號

--- Page 3 (20 筆) ---
1. 宥辰興業股份有限公司第一廠 | 桃園市八德區大竹段322-4地號
2. 臺灣水泥股份有限公司台北水泥製品廠八德分廠 | 桃園市八德區福興里長興路忠孝巷32之1號
3. 徐田企業股份有限公司 | 桃園市大園區 圳頭里 濱海路三段3.5號
4. 大園預拌混凝土股份有限公司 | 桃園市大園區圳頭里1鄰後館一路427號
5. 泰暘砂石有限公司 | 桃園市大園區圳頭里1鄰後館一路429號
6. 良邦建材有限公司大溪廠 | 桃園市大溪區仁和路二段一號
