#,公司名稱,廠址/據點,資本額,設立年份,負責人,集團/關係企業,備註
1,國產建材實業（台北港廠）,新北市八里區商港路128號,200億（母公司）,1954,徐蘭英（董事長）,國產建材實業（股）2504,全台最大預拌混凝土集團／台北港智慧廠
2,國產建材實業（汐止廠）,新北市汐止區福德二路360號,同母公司,1954,張金淼（廠長）,國產建材實業,汐止二廠2024動工增年產30萬m³
3,國產建材實業（土城廠）,新北市土城區中華路二段202號,同母公司,1954,陳丁郎（廠長）,國產建材實業,—
4,國產建材實業（八里廠）,新北市八里區龍米路二段221號,同母公司,1954,吳耀宗（廠長）,國產建材實業,—
5,國產建材實業（基隆廠）,基隆市,同母公司,1954,—,國產建材實業,—
6,亞東預拌混凝土（汐止廠）,新北市汐止區大同路一段139號,20億（母公司）,1978,李坤炎（董事長）,遠東集團／亞泥100%持股,全台26廠
7,亞東預拌混凝土（土城廠）,新北市土城區中華路二段208號,同母公司,1978,朱文壽（廠長）,遠東集團／亞泥,—
8,台灣水泥台北水泥製品廠,新北市汐止區大同路一段310號,1,000億（母公司）,1968,張安平（集團董事長）,台泥集團,1套拌和設備
9,力泰建設企業（士林廠）,台北市士林區延平北路七段7號,7.38億,1976,吳良材（董事長）,上櫃5520,北部最大獨立業者
10,力泰建設企業（汐止廠）,新北市汐止區樟樹二路43號,同母公司,1976,吳良材,上櫃5520,—
11,幸孚預拌混凝土廠（土城廠）,新北市土城區中華路一段162號,8.8億（母公司）,1993,陳韻如（董事長）,幸福水泥關係企業,—
12,幸孚預拌混凝土廠（樹林廠）,新北市樹林區中正路205號,同母公司,1993,陳韻如,幸福水泥關係企業,—
13,幸孚預拌混凝土廠（五股廠）,新北市五股區中興路三段192號,同母公司,1993,陳韻如,幸福水泥關係企業,—
14,幸孚預拌混凝土廠（汐止辦事處）,新北市汐止區中興路187號,同母公司,1993,陳韻如,幸福水泥關係企業,—
15,幸孚預拌混凝土廠（基隆廠）,基隆市七堵區八德路2-10號,同母公司,1993,陳韻如,幸福水泥關係企業,—
16,信一預拌混凝土（股）,台北市中正區寶慶路37號8樓,1.1億,1990,楊智雄,信大水泥關係企業,—
17,合興預拌混凝土（三峽廠）,新北市三峽區中正路三段196號,4,500萬,1992,鄧桂英,獨立／GRMC認證,另有三峽土城分廠
18,大象實業（股）,新北市汐止區環河街126號,4,189萬,1995,謝英美,獨立／GRMC認證,—
19,和昌國際工業（汐止廠）,新北市汐止區保新街133-1號,4.85億（母公司）,2004,江程金（董事長）,和昌國際工業（股）80670826,原台產實業／和昌購入
20,世芳預拌混凝土,新北市樹林區中正路205號,3,800萬,2018,張桂芳,獨立,—
21,陽明混凝土（股）,新北市金山區南勢湖29-1號,2,000萬,1994,郭淑如,獨立（北海岸）,—
22,大漢預拌廠（股）,新北市泰山區中港南路310號1樓,2,000萬,1987,蔡錦達,獨立,—
23,翔永預拌混凝土（股）,新北市汐止區福德二路339號,100萬,1992,吳政旭,獨立,—
24,合連有限公司,新北市樹林區鎮前街77-3號,3,600萬,2012,林祐羽,獨立,—
25,宥辰興業（股）,新北市鶯歌區中正三路156巷26號2樓,4億,2016,藍隆寬,獨立,—
26,聯興建材工業（股）,新北市新店區安和路二段146巷30號,—,—,—,獨立,—
27,富品混凝土工業（股）,新北市貢寮區延平街177號,—,—,—,獨立（東北角）,—
28,和昌國際工業（內湖廠）,台北市內湖區安康路111號,4.85億,2004,江程金（董事長）,和昌國際工業（股）80670826,GRMC認證／汐止廠+觀音廠+楊梅廠
29,北勢湖工業（股）,台北市內湖區安康路226巷8號1樓,—,—,—,獨立／預拌,—
30,宏林預拌混凝土,新北市泰山區半山雅2-3號5樓,100萬,1995,蔡和佳,獨立,—
31,金泉億興業,新北市淡水區公埔子20號之7,100萬,2026,葉柏彥,新設立,—
32,松達建材,新北市汐止區南陽街120巷35號1樓,7000萬,1988,白珮妤,獨立,標案6件／董監事：白添順、黃建榮、黃淑玲、郭宏正
33,龍形企業（八里廠）,新北市八里區忠八街60號,8000萬,1991,施阿祥,獨立,ISO-9001／捷運局合格／實績：台北港、十三行博物館／八里2廠+南投廠
