標案名稱,機關,金額,狀態,經度,緯度,地點
光復鄉大全村社區農路設施改善工程,農水署花蓮分署,272萬,決標,121.4243,23.6707,光復鄉大全村
豐濱鄉新社海堤康芮颱風災復建工程,豐濱鄉公所,1255萬,決標,121.5356,23.6519,豐濱鄉新社村
豐濱鄉立圖書館耐震補強工程,豐濱鄉公所,249萬,決標,121.5170,23.5970,豐濱鄉
花蓮縣消防局新秀分隊耐震補強,花蓮縣消防局,295萬,決標,121.6142,24.0033,新城鄉嘉新村
馬太鞍溪堰塞湖臨時安置組合屋,國土管理署,1988萬,決標,121.3980,23.6420,光復鄉馬太鞍溪
公路局花蓮工務段豐濱搶修工程(113),公路局東分局,3330萬,決標,121.4437,23.7465,鳳林鎮
花蓮縣全縣道路改善開口契約(110),花蓮縣政府,897萬,決標,121.6195,23.9893,花蓮市
新城鄉全鄉土木工程及道路養護開口契約,新城鄉公所,—,決標,121.6142,24.0033,新城鄉
萬榮鄉明利村擋土牆0403震災復建工程,萬榮鄉公所,—,決標,121.4060,23.7190,萬榮鄉明利村
玉里鎮瑪谷達璦多功能長壽俱樂部耐震補強,玉里鎮公所,—,決標,121.3141,23.3323,玉里鎮
花蓮市災害搶修開口契約,花蓮市公所,—,招標中,121.6195,23.9893,花蓮市
壽豐鄉115年度公共工程小型工程(開口契約),壽豐鄉公所,—,招標中,121.5032,23.8271,壽豐鄉
豐濱鄉114年度各村基礎設施二期工程,豐濱鄉公所,—,招標中,121.5170,23.5970,豐濱鄉
花蓮縣政府115年度北區道路改善工程第一標(開口),花蓮縣政府,—,招標中,121.5800,24.0500,花蓮北區
花蓮縣政府115年度全縣水利設施清疏工程(開口),花蓮縣政府,—,招標中,121.6195,23.9893,花蓮市
