#,公司名稱,廠址/據點,資本額,設立年份,負責人,集團/關係企業,備註
1,亞東預拌混凝土（美崙廠）,花蓮市美工三街12號,20億（母公司）,2001（廠）,李坤炎（母公司董事長）／徐建雄（廠長）,遠東集團→亞泥100%轉投資；全台13廠,ISO9001+優質混凝土驗證；年產能每小時180m³；2025APEA亞太企業獎
2,鳳勝實業（花蓮廠）,花蓮市美工五街3號（第二廠同址5號）,6億（母公司）,1998（廠）／1997（母公司）,黃健強（母公司董事長）／林棟樑（廠長）,台泥+官田鋼鐵兩大股東；全台11預拌廠+2砂石廠；花蓮另有壽豐廠,1965年創立(砂石運輸起家)；1997年台泥/官田入主；含花蓮第二廠、壽豐廠
3,鼎泰興預拌混凝土,新城鄉新城村新興一路1巷6號（工廠：秀林鄉和工四路12號）,4100萬,2003,黃銘華,原名龍華預拌（2018年更名）,工廠：秀林鄉和工四路12號
4,威神企業,吉安鄉光華村華城六街35號,4800萬,1987,梁億宏,東部砂石(股)(已解散)；億鍠營造(梁億宏),複合型：預拌+土石採取+廢棄物清除+資源回收；含砂石碎解洗選場；標案14件
5,花建實業,鳳林鎮榮開路39-1號,1800萬,1990,陳東堯（前負責人方來興）,友正集團（陳東堯亦為友正監察人、友正貨運董事）；方來興曾任負責人,友正集團關聯企業
6,友正預拌混凝廠,吉安鄉光華村華工六路31巷2號,2000萬,1992,馮志緯（董事長）／方來興（董事）,友正集團（含友誠、友砂、友正貨運、友正砂石、友華加油站）；方來興為核心人物,含崇德廠(秀林)、光復廠；本廠+2衛星廠布局；標案1件：和平工業區預拌混凝土購運(2002)
7,長雄預拌混凝土廠,吉安鄉仁安村南海四街148號,500萬,1973,邱豐娥,邱氏家族（長旭建設、長旭交通、福隆汽車貨運）,花蓮在地50年老廠；家族企業(邱氏持股86%)
8,大元預拌混凝土,吉安鄉仁安村南海七街47號（工廠：玉里鎮新民8-1號）,500萬,2022,温茗勝,大元行（同負責人）／芊成工程,最年輕業者(2022)；玉里設廠涵蓋南花蓮
9,台灣水泥花蓮廠（預拌混凝土工場）,花蓮市民孝里精美路2-1號,台泥集團,1994（預拌工場）,劉志仁（廠長）,台泥集團；另有水泥廠(華東103號)、和平UHPC中心、台北水泥製品廠花蓮分廠(2025新設),全台最大水泥集團；花蓮3生產據點
10,友誠有限公司,秀林鄉和平村和平30-11號（和平工業區）,3000萬,1994,方來興,友正集團（方來興為核心人物）,預拌+瀝青製造；和平工業區
11,友砂預拌廠,花蓮市國裕里富裕十街50巷17號,2000萬,1998,方冠儒,友正集團（方來興/方彥翔共同董事）,友正集團關係企業
