公司名稱,廠址,資本額,設立年份,負責人,集團/備註,GPS_lat,GPS_lng
亞東預拌混凝土股份有限公司(汐止廠),新北市汐止區大同路一段139號,20億,1978/1999(轉投資),李坤炎(董事長),遠東集團/亞洲水泥100%持股,25.0678,121.6474
亞東預拌混凝土股份有限公司(土城廠),新北市土城區中華路二段208號,同總公司,1978,朱文壽(廠長),遠東集團/亞洲水泥,24.9781,121.4189
亞東預拌混凝土股份有限公司(林口廠/龜山),桃園市龜山區大華里頂湖路28號,同總公司,2000(設廠),—(分公司),遠東集團/亞洲水泥(實際桃園但服務大台北),25.0475,121.3804
國產建材實業股份有限公司(台北港廠),新北市八里區商港路128號,200億(總),1954,吳耀宗(廠長)/徐蘭英(總董),上市公司2504/龍頭企業,25.1498,121.3507
國產建材實業股份有限公司(汐止廠),新北市汐止區福德二路360號,同總公司,1954,張金淼(廠長),上市公司2504,25.0680,121.6481
國產建材實業股份有限公司(汐止二廠),新北市汐止區(汐止廠旁),同總公司,2024(動工),—,上市公司2504/增年產30萬m³,25.0679,121.6485
國產建材實業股份有限公司(土城廠),新北市土城區中華路二段202號,同總公司,1954,陳丁郎(廠長),上市公司2504,24.9779,121.4195
國產建材實業股份有限公司(八里廠),新北市八里區龍米路二段221號,同總公司,1954,吳耀宗(廠長),上市公司2504,25.1426,121.4208
國產建材實業股份有限公司(台北廠),台北市南港區南港路三段33號,同總公司,1954,—(遷廠開發中),上市公司2504/原起家厝現轉開發,25.0545,121.5935
國產建材實業股份有限公司(基隆廠),基隆市(北北基區域廠),同總公司,1954,—,上市公司2504,25.1283,121.7415
臺灣水泥(台泥)台北水泥製品廠,新北市汐止區大同路一段310號,1000億(總),1947/1968(設廠),張安平(總董)/陳竹村(廠長),上市公司1101/台泥集團,25.0689,121.6501
力泰建設企業(士林廠),台北市士林區延平北路七段7號,7.38億,1976,吳良材(董事長兼總),上櫃5520/北部最大獨立業者,25.0932,121.4991
力泰建設企業(汐止廠),新北市汐止區樟樹二路43號,同總公司,1976,吳良材,上櫃5520,25.0671,121.6483
環球水泥股份有限公司,台北市中山區南京東路二段125號10樓,100億,1960,博智投資/侯博義(董事長),上市公司1104/環泥/混凝土場多在南部,25.0523,121.5350
幸孚預拌混凝土廠(土城廠),新北市土城區中華路一段162號,8.8億(總),1993,陳韻如(董事長),幸福水泥關係企業,24.9785,121.4187
幸孚預拌混凝土廠(基隆辦事處/廠),基隆市七堵區八德路2-10號,同總公司,1993,陳韻如,幸福水泥關係企業,25.0881,121.7124
幸孚預拌混凝土廠(樹林廠),新北市樹林區中正路205號,同總公司,1993,陳韻如,幸福水泥關係企業,25.0082,121.4206
幸孚預拌混凝土廠(五股廠),新北市五股區中興路三段192號,同總公司,1993,陳韻如,幸福水泥關係企業,25.0825,121.4205
幸孚預拌混凝土廠(汐止辦事處),新北市汐止區中興路187號,同總公司,1993,陳韻如,幸福水泥關係企業,25.0660,121.6558
信一預拌混凝土股份有限公司,台北市中正區寶慶路37號8樓,1.1億,1990,楊智雄,信大水泥關係企業,25.0410,121.4209
合興預拌混凝土(三峽廠),新北市三峽區中正路三段196號,4500萬,1992,鄧桂英,獨立/GRMC認證,24.9256,121.3602
合興預拌混凝土(土城分廠),新北市土城區中華路一段162號,同總公司,2011(設廠),鄧桂英,分廠,24.9785,121.4187
大象實業股份有限公司,新北市汐止區環河街126號,4189萬,1995,謝英美,獨立/GRMC認證,25.0654,121.6498
台產實業股份有限公司,新北市汐止區保新街133-1號,2.2億,1994,蔡建庭,獨立,25.0700,121.6590
世芳預拌混凝土有限公司,新北市樹林區中正路205號,3800萬,2018,張桂芳,獨立,25.0082,121.4206
陽明混凝土股份有限公司,新北市金山區南勢湖29-1號,2000萬,1994,郭淑如,獨立(北海岸),25.222.0803.121.6350
大漢預拌廠股份有限公司,新北市泰山區中港南路310號1樓,2000萬,1987,蔡錦達,獨立,25.0499,121.4332
翔永預拌混凝土股份有限公司,新北市汐止區福德二路339號,100萬,1992,吳政旭,獨立,25.0681,121.6482
合連有限公司,新北市樹林區鎮前街77-3號,3600萬,2012,林祐羽,獨立,25.0004,121.4220
宥辰興業股份有限公司,新北市鶯歌區中正三路156巷26號2樓,4億,2016,藍隆寬,獨立,24.9520,121.3342
宥合實業股份有限公司,新北市鶯歌區中正三路156巷26號2樓(2樓),2500萬,2022,藍隆寬,與宥辰同負責人,24.9520,121.3342
聯興建材工業股份有限公司,新北市新店區安和路二段146巷30號,—,—,—,獨立,24.9810,121.5321
松達建材股份有限公司,新北市汐止區南陽街120巷35號,—,—,—,獨立,25.0672,121.6489
永明水泥製品廠股份有限公司,新北市三峽區隆恩街178巷30號,500萬,1978,賴立峯,水泥製品/預拌混凝土,24.9275,121.3588
寰冠科技股份有限公司,新北市三峽區安坑70-2號,2500萬,2008,陳麗敏,獨立,24.9140,121.3765
富品混凝土工業股份有限公司,新北市貢寮區延平街177號,—,—,—,獨立(東北角),25.0301,121.9508
和昌國際工業股份有限公司,台北市內湖區安康路111號2樓,—,—,—,獨立/預拌,25.0640,121.5909
北勢湖工業股份有限公司,台北市內湖區安康路226巷8號1樓,—,—,—,獨立/預拌,25.0638,121.5910
宏林預拌混凝土有限公司,新北市泰山區半山雅2-3號5樓,100萬,1995,蔡和佳,獨立,25.0501,121.4335
金泉億興業有限公司,新北市淡水區公埔子20號之7,100萬,2026,葉柏彥,新設立,25.1961,121.4605
